N	P	T

500	8	0.000000
500	8	0.000000
700	8	0.000000
700	8	0.000000
900	8	0.000000
900	8	0.000000
1100	8	0.000000
1100	8	0.000000
1300	8	0.000000
1300	8	0.000000
1500	8	0.000000
1500	8	0.000000
1700	8	0.000000
1700	8	0.000000
1900	8	0.000000
1900	8	0.000000
2100	8	0.010000
2100	8	0.000000
2300	8	0.000000
2300	8	0.000000
500	16	0.040000
500	16	0.030000
700	16	0.040000
700	16	0.050000
900	16	0.030000
900	16	0.020000
1100	16	0.030000
1100	16	0.040000
1300	16	0.040000
1300	16	0.040000
1500	16	0.040000
1500	16	0.040000
1700	16	0.040000
1700	16	0.040000
1900	16	0.030000
1900	16	0.040000
2100	16	0.040000
2100	16	0.050000
2300	16	0.030000
2300	16	0.030000
500	24	0.030000
500	24	0.030000
700	24	0.040000
700	24	0.040000
900	24	0.030000
900	24	0.030000
1100	24	0.040000
1100	24	0.050000
1300	24	0.040000
1300	24	0.050000
1500	24	0.040000
1500	24	0.040000
1700	24	0.040000
1700	24	0.050000
1900	24	0.040000
1900	24	0.030000
2100	24	0.040000
2100	24	0.040000
2300	24	0.030000
2300	24	0.030000
500	32	0.060000
500	32	0.060000
700	32	0.060000
700	32	0.070000
900	32	0.050000
900	32	0.040000
1100	32	0.070000
1100	32	0.070000
1300	32	0.080000
1300	32	0.060000
1500	32	0.070000
1500	32	0.060000
1700	32	0.060000
1700	32	0.060000
1900	32	0.050000
1900	32	0.070000
2100	32	0.070000
2100	32	0.080000
2300	32	0.060000
2300	32	0.060000
500	40	0.060000
500	40	0.050000
700	40	0.070000
700	40	0.070000
900	40	0.050000
900	40	0.060000
1100	40	0.060000
1100	40	0.070000
1300	40	0.060000
1300	40	0.070000
1500	40	0.060000
1500	40	0.060000
1700	40	0.060000
1700	40	0.050000
1900	40	0.070000
1900	40	0.060000
2100	40	0.070000
2100	40	0.070000
2300	40	0.050000
2300	40	0.050000
500	48	0.050000
500	48	0.060000
700	48	0.070000
700	48	0.060000
900	48	0.050000
900	48	0.060000
1100	48	0.070000
1100	48	0.060000
1300	48	0.070000
1300	48	0.060000
1500	48	0.060000
1500	48	0.060000
1700	48	0.070000
1700	48	0.060000
1900	48	0.070000
1900	48	0.050000
2100	48	0.070000
2100	48	0.080000
2300	48	0.050000
2300	48	0.060000
500	56	0.050000
500	56	0.060000
700	56	0.070000
700	56	0.070000
900	56	0.050000
900	56	0.060000
1100	56	0.070000
1100	56	0.070000
1300	56	0.070000
1300	56	0.070000
1500	56	0.060000
1500	56	0.060000
1700	56	0.060000
1700	56	0.070000
1900	56	0.060000
1900	56	0.070000
2100	56	0.060000
2100	56	0.080000
2300	56	0.060000
2300	56	0.040000
500	64	0.080000
500	64	0.080000
700	64	0.100000
700	64	0.090000
900	64	0.060000
900	64	0.070000
1100	64	0.090000
1100	64	0.100000
1300	64	0.100000
1300	64	0.080000
1500	64	0.080000
1500	64	0.090000
1700	64	0.080000
1700	64	0.090000
1900	64	0.090000
1900	64	0.080000
2100	64	0.080000
2100	64	0.100000
2300	64	0.070000
2300	64	0.080000
500	72	0.080000
500	72	0.070000
700	72	0.090000
700	72	0.090000
900	72	0.080000
900	72	0.070000
1100	72	0.090000
1100	72	0.100000
1300	72	0.090000
1300	72	0.090000
1500	72	0.090000
1500	72	0.090000
1700	72	0.080000
1700	72	0.080000
1900	72	0.100000
1900	72	0.090000
2100	72	0.100000
2100	72	0.100000
2300	72	0.080000
2300	72	0.080000
500	80	0.080000
500	80	0.070000
700	80	0.080000
700	80	0.090000
900	80	0.060000
900	80	0.060000
1100	80	0.080000
1100	80	0.100000
1300	80	0.080000
1300	80	0.090000
1500	80	0.090000
1500	80	0.080000
1700	80	0.080000
1700	80	0.080000
1900	80	0.090000
1900	80	0.090000
2100	80	0.090000
2100	80	0.090000
2300	80	0.080000
2300	80	0.080000
500	88	0.080000
500	88	0.080000
700	88	0.090000
700	88	0.090000
900	88	0.070000
900	88	0.070000
1100	88	0.090000
1100	88	0.090000
1300	88	0.090000
1300	88	0.090000
1500	88	0.090000
1500	88	0.080000
1700	88	0.090000
1700	88	0.080000
1900	88	0.100000
1900	88	0.090000
2100	88	0.100000
2100	88	0.100000
2300	88	0.080000
2300	88	0.080000
500	96	0.070000
500	96	0.070000
700	96	0.090000
700	96	0.090000
900	96	0.060000
900	96	0.060000
1100	96	0.080000
1100	96	0.100000
1300	96	0.100000
1300	96	0.100000
1500	96	0.090000
1500	96	0.080000
1700	96	0.080000
1700	96	0.090000
1900	96	0.090000
1900	96	0.080000
2100	96	0.100000
2100	96	0.090000
2300	96	0.080000
2300	96	0.080000
500	104	0.080000
500	104	0.080000
700	104	0.080000
700	104	0.090000
900	104	0.080000
900	104	0.080000
1100	104	0.100000
1100	104	0.090000
1300	104	0.090000
1300	104	0.090000
1500	104	0.080000
1500	104	0.090000
1700	104	0.080000
1700	104	0.080000
1900	104	0.070000
1900	104	0.090000
2100	104	0.100000
2100	104	0.090000
2300	104	0.060000
2300	104	0.060000
500	112	0.080000
500	112	0.090000
700	112	0.090000
700	112	0.090000
900	112	0.070000
900	112	0.060000
1100	112	0.100000
1100	112	0.090000
1300	112	0.090000
1300	112	0.090000
1500	112	0.080000
1500	112	0.080000
1700	112	0.090000
1700	112	0.080000
1900	112	0.090000
1900	112	0.080000
2100	112	0.100000
2100	112	0.100000
2300	112	0.070000
2300	112	0.070000
500	120	0.070000
500	120	0.080000
700	120	0.090000
700	120	0.100000
900	120	0.080000
900	120	0.080000
1100	120	0.090000
1100	120	0.080000
1300	120	0.100000
1300	120	0.090000
1500	120	0.100000
1500	120	0.080000
1700	120	0.090000
1700	120	0.080000
1900	120	0.090000
1900	120	0.080000
2100	120	0.100000
2100	120	0.100000
2300	120	0.080000
2300	120	0.090000
500	128	0.100000
500	128	0.100000
700	128	0.110000
700	128	0.100000
900	128	0.070000
900	128	0.080000
1100	128	0.110000
1100	128	3.060000
1300	128	0.100000
1300	128	0.110000
1500	128	0.110000
1500	128	0.110000
1700	128	0.100000
1700	128	0.110000
1900	128	0.100000
1900	128	0.100000
2100	128	0.120000
2100	128	0.110000
2300	128	0.090000
2300	128	0.110000
